OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N088/evals/Qwen3.5-27B/eval_output.txt	manual=0.33	reported=0.33	diff=0	major_h=2	minor_h=3	major_o=0	minor_o=1
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N089/evals/Qwen3.5-27B/eval_output.txt	manual=0.85	reported=0.85	diff=0	major_h=0	minor_h=3	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N090/evals/Qwen3.5-27B/eval_output.txt	manual=0.7	reported=0.7	diff=0	major_h=0	minor_h=6	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N091/evals/Qwen3.5-27B/eval_output.txt	manual=0.68	reported=0.68	diff=0	major_h=0	minor_h=6	major_o=0	minor_o=1
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N092/evals/Qwen3.5-27B/eval_output.txt	manual=0.8	reported=0.8	diff=0	major_h=0	minor_h=4	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N093/evals/Qwen3.5-27B/eval_output.txt	manual=0.7	reported=0.7	diff=0	major_h=0	minor_h=6	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N094/evals/Qwen3.5-27B/eval_output.txt	manual=0.6	reported=0.6	diff=0	major_h=1	minor_h=3	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N095/evals/Qwen3.5-27B/eval_output.txt	manual=0.85	reported=0.85	diff=0	major_h=0	minor_h=3	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N096/evals/Qwen3.5-27B/eval_output.txt	manual=0.8	reported=0.8	diff=0	major_h=0	minor_h=4	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N097/evals/Qwen3.5-27B/eval_output.txt	manual=0.7	reported=0.7	diff=0	major_h=0	minor_h=6	major_o=0	minor_o=0
OK	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N098/evals/Qwen3.5-27B/eval_output.txt	manual=0.85	reported=0.85	diff=0	major_h=0	minor_h=3	major_o=0	minor_o=0
MISMATCH	outputs/aces/20260501/Qwen3.5-27B/aci_bench/clinicalnlp_taskB_test1_0shot/D2N099/evals/Qwen3.5-27B/eval_output.txt	manual=0.63	reported=0.65	diff=-0.02	major_h=1	minor_h=2	major_o=0	minor_o=1
